step,actic loss,critic loss,average distance,time
4710,-1.2970,0.8807,5.2325,0min6sec
4720,-1.2947,0.8793,5.2311,0min6sec
4730,-1.2929,0.8783,5.2306,0min6sec
4740,-1.2916,0.8776,5.2314,0min6sec
4750,-1.2896,0.8768,5.2317,0min6sec
4760,-1.2877,0.8757,5.2309,0min6sec
4770,-1.2859,0.8745,5.2300,0min6sec
4780,-1.2841,0.8735,5.2295,0min6sec
4790,-1.2822,0.8723,5.2286,0min6sec
4800,-1.2798,0.8712,5.2275,0min6sec
4810,-1.2772,0.8702,5.2267,0min6sec
4820,-1.2752,0.8692,5.2261,0min6sec
4830,-1.2736,0.8682,5.2256,0min6sec
4840,-1.2717,0.8671,5.2247,0min6sec
4850,-1.2699,0.8660,5.2241,0min6sec
4860,-1.2676,0.8648,5.2232,0min6sec
4870,-1.2649,0.8638,5.2223,0min6sec
4880,-1.2630,0.8627,5.2213,0min6sec
4890,-1.2613,0.8618,5.2209,0min6sec
4900,-1.2595,0.8608,5.2203,0min6sec
4910,-1.2574,0.8596,5.2193,0min6sec
4920,-1.2553,0.8584,5.2179,0min6sec
4930,-1.2529,0.8571,5.2165,0min6sec
4940,-1.2507,0.8559,5.2150,0min6sec
4950,-1.2487,0.8546,5.2135,0min6sec
4960,-1.2466,0.8534,5.2121,0min6sec
4970,-1.2444,0.8521,5.2107,0min6sec
4980,-1.2423,0.8508,5.2091,0min6sec
4990,-1.2401,0.8496,5.2077,0min6sec
